,Zip,Emp Const Extr Change
29540,87123,-0.149161820047896
1723,06076,-0.08108108108108109
12812,39339,0.020069204152249134
29569,87413,-0.06907742234585072
10483,32504,0.05965909090909091
9134,28791,-0.12336892052194544
2805,11003,0.04709141274238227
2987,11735,0.10902555910543131
21568,62568,-0.13333333333333333
6529,21128,0.19631901840490798
5975,19083,0.044282511210762335
29411,86326,-0.16989247311827957
10738,33143,0.23011015911872704
6895,22601,-0.05495134516313681
15519,47460,0.12874251497005987
10353,32176,0.05827067669172932
380,01830,-0.007259528130671506
30765,93313,0.0748205411374931
11534,35810,-0.1946702800361337
6803,22101,-0.18785578747628084
12146,37664,0.13442113442113443
2140,07646,-0.06548279689234185
11226,34761,-0.11189427312775331
11140,34420,0.013888888888888888
12625,38804,-0.2856109906001446
358,01746,-0.015132408575031526
27881,80232,0.05454545454545454
744,02921,-0.21484375
30199,91107,0.05193661971830986
14020,43612,0.09957325746799431
20535,60174,0.04526748971193416
6905,22630,-0.04380664652567976
29908,89142,-0.2324805339265851
30135,90620,0.12030716723549488
9476,29693,-0.055612770339855816
27325,78620,-0.08514335360556038
20474,60089,0.11142587346553352
24272,70544,-0.0731244064577398
26321,76104,-0.09209621993127148
11319,35115,-0.0946656649135988
20744,60655,-0.05964912280701754
12136,37642,0.05753646677471637
12268,37914,0.19131832797427653
1950,06877,0.024113475177304965
10672,33013,0.10935497650576677
10132,31533,-0.20159151193633953
10956,33764,0.038984587488667274
13007,40047,0.0273972602739726
32353,98119,-0.0037735849056603774
5559,17901,-0.023947750362844702
7025,23005,-0.02634054562558796
28247,81401,0.06105347166799681
31168,95008,0.027868259138617443
5955,19054,-0.1
384,01835,-0.06340956340956341
32092,97439,-0.1377551020408163
9987,30907,-0.07452204447912603
478,02127,0.10492505353319058
11007,33870,-0.2139705882352941
27816,80030,0.1767337807606264
15862,48201,0.13978494623655913
25985,75218,-0.23746397694524496
31103,94610,0.10021786492374728
7876,25302,0.21058965102286403
20581,60428,0.00597609561752988
12151,37683,-0.12367491166077739
20554,60202,-0.07373271889400922
27809,80021,0.07613694430250383
16375,49316,0.10392364793213149
32082,97424,0.34
9688,30204,-0.23385012919896642
32547,98520,-0.19319938176197837
20888,61201,-0.03638754932047348
12885,39563,-0.13352272727272727
25994,75229,-0.034482758620689655
4443,15143,-0.03712035995500562
5984,19103,0.04878048780487805
31990,97224,-0.02045209903121636
557,02465,-0.2691131498470948
17449,52246,-0.3173374613003096
15090,46304,0.030333167578319244
9160,29033,-0.18181818181818182
25869,75023,-0.012121212121212121
142,01020,0.11743341404358354
16435,49444,0.05019305019305019
12961,39828,-0.14273430782459157
6429,20815,0.2383177570093458
26022,75409,0.10427010923535253
27149,78222,-0.0543640897755611
27695,79603,0.03713768115942029
9653,30132,0.00914962325080732
9582,30019,-0.03356582388840453
2011,07060,-0.020924350425385145
3019,11779,0.027245206861755803
2828,11205,-0.3986975397973951
21836,63052,-0.0728110599078341
18559,55343,-0.02236024844720497
4378,15037,-0.08949880668257756
4478,15232,-0.7052023121387283
27058,78028,0.1574468085106383
30144,90670,-0.013513513513513514
8538,27614,0.15821812596006143
12114,37405,-0.40130861504907306
4157,14534,-0.1723027375201288
6794,22039,-0.0058823529411764705
32486,98362,-0.1608725289706885
30242,91367,0.0259222333000997
9422,29617,-0.04152114862242918
27796,80005,0.07360097323600973
26954,77657,-0.1739674593241552
32542,98503,0.12700881285640228
30513,92371,0.0861067089276281
27737,79772,0.12378640776699029
30584,92614,0.2694805194805195
30803,93505,0.04976303317535545
26280,76033,-0.010416666666666666
31576,95829,-0.08239700374531835
16425,49426,0.03161320316132032
28826,84062,-0.04204753199268738
27871,80221,0.027377288190507047
18447,55040,-0.010435850214855739
10080,31217,0.0056433408577878106
12795,39301,0.01662468513853904
29092,85042,0.0927694406548431
31062,94561,0.021378340365682136
12347,38119,-0.16920152091254753
14328,44410,-0.007077856420626896
27382,78724,0.11658498839308744
15901,48301,-0.45549738219895286
14256,44145,0.22104018912529552
15361,47111,0.08071748878923767
6202,19958,0.16202090592334495
26128,75644,-0.014415781487101669
15895,48237,0.16626794258373206
6169,19802,0.08712613784135241
4556,15425,0.0013651877133105802
30725,93247,0.20222634508348794
2041,07095,0.09302325581395349
14393,44615,-0.10342019543973942
11268,35020,-0.0082930200414651
18521,55303,0.1337386018237082
31232,95204,0.0582010582010582
844,03301,0.17387543252595156
20886,61114,-0.3295774647887324
25517,73942,-0.027928626842513578
528,02346,-0.05506607929515418
10858,33484,0.44256756756756754
13819,43113,-0.005366726296958855
31236,95209,-0.02827050997782705
30432,92227,0.04922566371681416
31221,95132,0.17080745341614906
23750,68521,-0.03356439255746078
12992,40014,0.16846652267818574
22254,64133,0.14238227146814406
8810,28311,-0.08355321020228672
30170,90804,0.07612635939927499
10722,33127,-0.09601052170100834
5524,17837,0.020440251572327043
32357,98126,-0.027491408934707903
10352,32174,-0.027128157156220765
11476,35640,0.04734350341925302
12873,39520,-0.11436950146627566
10832,33437,-0.22348816827344434
8543,27703,-0.01980962181631078
9557,29926,-0.05045118949958983
26729,77078,-0.02831715210355987
9773,30342,0.0166545981173063
31975,97209,0.5641025641025641
3867,13676,-0.01951219512195122
18523,55305,0.06875
27964,80504,0.037096774193548385
23527,68005,-0.038101604278074866
12710,39046,0.5
10820,33415,0.17481044650379107
26721,77070,-0.08742949234488316
10971,33801,-0.02082347373402745
2866,11357,0.07290015847860538
27137,78210,-0.048674051695199734
14114,43920,-0.07937632884479093
27211,78363,0.10480664980122877
22818,65802,-0.12938689217758986
9588,30030,0.12054794520547946
20585,60432,0.09861111111111111
14259,44149,0.031598513011152414
10499,32541,0.3582251082251082
11218,34746,0.17382617382617382
10857,33483,-0.012376237623762377
31150,94952,0.04125468803273099
30587,92620,0.01415929203539823
18640,55436,-0.11143695014662756
6576,21229,-0.01839080459770115
32298,98021,-0.0320962888665998
14587,45152,-0.09513023782559456
21902,63146,0.2641509433962264
20461,60070,0.01671891327063741
15851,48186,0.11512791991101223
32454,98321,-0.11750599520383694
30874,93636,-0.018722466960352423
14460,44718,-0.13741721854304637
6275,20169,-0.25061425061425063
4483,15237,-0.037460978147762745
26737,77086,0.08069336521219367
8409,27278,0.06437221159974506
64,00738,-0.030133928571428572
10810,33405,-0.09783938035059112
18561,55345,-0.16176470588235295
22240,64117,0.04455445544554455
11046,33948,-0.06825938566552901
9096,28739,0.10672645739910314
31998,97236,0.04519774011299435
3382,12603,0.05639614855570839
26148,75686,-0.031794871794871796
9988,30909,0.0744297719087635
31064,94564,0.10505319148936171
27487,79022,-0.03189493433395872
14703,45356,-0.022275737507525588
18262,54729,0.043747028055159294
32839,99216,-0.09667896678966789
14640,45241,-0.09868421052631579
4194,14610,0.8760330578512396
26876,77502,0.12034871358707208
24714,71909,-0.042826552462526764
24404,70812,0.012367491166077738
12133,37620,-0.017558528428093644
24246,70510,-0.0158004158004158
10689,33032,0.1868880374627501
25749,74701,-0.11298838437170011
8426,27312,0.08384710234278668
10589,32766,-0.2484725050916497
16591,49783,-0.01933404940923738
14510,44870,-0.09777777777777778
27981,80534,0.17456021650879566
3152,12110,0.03650442477876106
26274,76020,0.023137254901960783
26951,77651,0.04954499494438827
21868,63110,0.4873417721518987
7220,23509,-0.03834510595358224
7496,24354,0.09164733178654293
2644,10455,0.021036814425244178
20859,61068,-0.17272727272727273
30112,90293,-0.0056022408963585435
32287,98004,0.2019607843137255
2175,07730,-0.09240246406570841
10734,33139,-0.06742370475514549
9890,30607,-0.20603674540682415
30989,94117,-0.11428571428571428
2727,10603,-0.2751031636863824
2479,08723,0.010526315789473684
11461,35603,0.10577507598784194
31010,94402,0.042212518195050945
15467,47362,-0.21332275971451228
31239,95212,-0.27099236641221375
21263,62002,-0.04871323529411765
1931,06801,0.06631299734748011
29539,87122,0.2277992277992278
32648,98671,0.13911845730027547
6887,22556,0.12716450216450217
6178,19901,-0.18198874296435272
30461,92274,0.033012820512820513
13065,40205,-0.16503496503496504
11098,34207,0.06844660194174758
2370,08210,-0.02844311377245509
27002,77905,-0.03198172472872644
13791,43062,0.07417735638594534
1849,06457,-0.05647330003841721
32869,99353,0.07522567703109329
25973,75205,0.6434782608695652
7122,23223,-0.007623007623007623
31493,95650,-0.16548463356973994
15830,48160,-0.044657097288676235
4459,15211,0.06359649122807018
24166,70130,-0.043683589138134596
2932,11554,0.08333333333333333
10367,32207,-0.16447368421052633
31501,95661,0.1822262118491921
21091,61548,0.11239669421487604
2878,11369,-0.037687265917603
26679,77027,0.35195530726256985
4982,16335,-0.10507462686567164
14425,44663,0.1321455085374907
20543,60185,-0.007134363852556481
14692,45344,0.011013215859030838
24356,70739,-0.06322350845948353
30045,90038,0.14632799558255108
32463,98332,0.02902757619738752
27703,79706,0.05718349928876244
295,01507,0.008902077151335312
5440,17543,0.013261648745519713
30210,91214,-0.01439342015078821
10944,33713,-0.09083436087135224
2895,11417,0.03725490196078431
26894,77532,0.18323153803442532
30873,93635,-0.043429844097995544
26019,75401,0.07771609833465504
6786,22025,-0.14093959731543623
183,01085,-0.09884467265725289
10308,32080,0.22308546059933407
15917,48324,-0.12116788321167883
20305,59715,-0.0009398496240601503
30181,91001,0.05041518386714116
15944,48377,-0.06435643564356436
23260,67219,0.03007518796992481
32726,98944,0.07333584054155698
26905,77550,-0.17027632561613143
2549,08882,-0.029657089898053754
15196,46637,0.1339155749636099
16454,49504,-0.05909797822706065
26316,76088,-0.032729805013927575
11369,35214,0.02897473997028232
23025,66701,0.18615384615384614
15267,46818,0.13307984790874525
12583,38701,0.026455026455026454
1012,04011,0.04992967651195499
10584,32757,0.13640469738030714
14237,44126,-0.16720257234726688
28107,80919,-0.09100204498977506
30382,92084,0.10469765117441279
12233,37849,0.01033434650455927
18115,54452,-0.09337979094076655
30578,92602,-0.07591623036649214
10683,33026,-0.007407407407407408
448,02050,-0.11009174311926606
8401,27249,-0.06102877070619006
31343,95404,-0.1112036651395252
30212,91302,0.10689655172413794
21931,63367,0.03836530442035029
15919,48327,0.08030431107354184
12524,38583,-0.0693175711982805
17648,53005,-0.05912162162162162
3237,12401,0.006792058516196447
12551,38637,0.29890219560878245
25908,75082,-0.029921259842519685
24408,70817,-0.061676646706586825
23011,66607,0.15891472868217055
6574,21227,-0.07981492192018508
5045,16509,0.03237410071942446
24816,72086,-0.17262423714036618
13816,43110,0.15881326352530542
5609,18017,-0.004530744336569579
5667,18201,-0.15338645418326693
6085,19460,0.06276445698166432
551,02458,0.6407766990291263
8375,27104,-0.0199203187250996
5962,19064,-0.07420749279538905
329,01571,-0.01675977653631285
6491,21042,0.26173708920187794
4299,14830,0.20219123505976094
31037,94530,-0.23955147808358818
14926,45875,-0.08438818565400844
16221,49015,0.12431842966194111
30106,90277,-0.07556270096463022
18057,54220,0.03148806500761808
14759,45504,-0.11925465838509317
10644,32926,-0.13345776948203453
10441,32408,-0.4002211166390271
13017,40059,-0.12293577981651377
23277,67337,0.029668411867364748
31625,95954,-0.09090909090909091
18546,55330,-0.016592214422463305
21463,62401,-0.23342415985467757
29338,85757,0.058533916849015315
6924,22701,-0.11924198250728862
30594,92637,0.04716981132075472
1814,06382,-0.46526508226691043
18239,54656,-0.18374558303886926
2745,10901,-0.050387596899224806
2093,07452,0.2896174863387978
22874,66071,0.05889281507656066
32838,99212,-0.08911614317019723
31061,94560,-0.04289456450556647
27038,78006,0.10124826629680998
1914,06776,-0.09330708661417322
12099,37377,0.13268156424581007
3625,13090,-0.059369202226345084
10761,33174,0.03423967774420947
10377,32220,-0.15530799475753604
7242,23666,-0.06766086716376692
20670,60542,-0.15522388059701492
27863,80211,0.08547486033519552
14680,45331,0.08512330946698489
30201,91201,0.12164750957854406
3002,11756,-0.09927053599746273
27491,79029,0.10211066742726754
15224,46755,-0.18408880666049954
32496,98373,0.13349968808484092
2654,10465,0.06609325486645541
27475,79007,-0.013691128148959474
9575,30009,-0.22346368715083798
12841,39426,-0.017142857142857144
20657,60525,0.04295051353874883
8416,27292,-0.02081447963800905
14316,44314,-0.17073170731707318
29071,85015,-0.043721674220207944
15471,47371,0.12830188679245283
12126,37601,-0.023966165413533833
2081,07424,-0.07098937954164337
25606,74127,0.06856702619414484
27165,78238,0.17463976945244958
30696,93203,0.06614246068455135
18504,55118,-0.06385169927909372
1963,07001,0.3770491803278688
2894,11416,0.22842954686530106
11546,35951,-0.03732809430255403
1994,07036,-0.04623179227359088
2109,07504,-0.4305317324185249
3679,13206,-0.019823788546255508
6230,20017,-0.3851063829787234
8509,27565,-0.09362880886426593
27877,80228,0.014372163388804841
20861,61071,-0.07019704433497537
6524,21113,0.19907834101382488
14523,44903,0.02918918918918919
1969,07008,0.1404878048780488
28406,82609,0.07103825136612021
2892,11414,0.027170311464546057
14187,44057,-0.2507936507936508
32070,97408,0.1787709497206704
21024,61443,-0.12852311161217586
13570,42103,-0.010679611650485437
31121,94803,0.03216019417475728
3999,14052,0.3467455621301775
30999,94131,-0.10588235294117647
330,01581,0.19508867667121418
14362,44471,-0.26169405815423513
3935,13815,0.13896103896103895
24167,70131,0.12678571428571428
22234,64110,0.05583756345177665
25877,75039,0.14189189189189189
26344,76134,0.30996523754345306
32468,98338,-0.048438048438048435
32372,98178,0.00375234521575985
27552,79118,-0.13671875
25966,75181,-0.07205720572057206
10347,32159,0.18863049095607234
29400,86303,0.24783549783549783
17448,52245,-0.06299212598425197
31218,95129,0.37488196411709157
22216,64083,-0.15915414579855314
5489,17754,0.02058319039451115
22221,64089,0.03925845147219193
975,03867,-0.05287623474723998
31005,94303,0.21543408360128619
10934,33703,0.05804311774461028
20757,60827,-0.09768009768009768
11793,36582,0.024828314844162706
21852,63080,0.15230312035661217
13852,43160,-0.037927844588344126
17642,52806,0.1489191353082466
15261,46807,-0.03758542141230068
24750,72002,0.08265027322404371
20686,60559,0.028225806451612902
27145,78218,-0.06941923774954628
30363,92055,0.13043478260869565
9418,29611,-0.29343308395677475
1681,06002,-0.11428571428571428
496,02149,-0.07074192753265961
848,03431,0.05393053016453382
26091,75501,0.12262592898431049
13839,43146,0.004
12796,39305,0.1322609472743521
13143,40444,0.10122038765254845
16406,49401,-0.11668107173725151
16377,49319,0.09473684210526316
3377,12589,-0.039581777445855115
10659,32960,-0.21554770318021202
25951,75156,0.13056379821958458
14651,45255,0.026476578411405296
11269,35022,0.16666666666666666
29067,85009,-0.1736983842010772
27762,79849,0.11962833914053426
15271,46845,0.23760092272202998
15798,48111,-0.007042253521126761
30278,91724,-0.028771929824561403
27857,80204,-0.07447803053910876
27848,80132,-0.1413793103448276
12850,39452,-0.024289263041678166
7283,23851,0.23708920187793428
9768,30337,0.5263157894736842
8432,27320,-0.19664191152728447
8628,27893,-0.1750524109014675
7234,23607,-0.18641810918774968
27702,79705,0.2700381679389313
10503,32548,-0.07211538461538461
18815,55987,0.05314009661835749
31892,97030,-0.007203389830508475
12266,37909,0.17458677685950413
20882,61108,-0.10507505360972123
28989,84663,0.1773891317926296
11148,34442,0.044673539518900345
14172,44039,0.03774680603948897
29334,85749,-0.19613259668508287
2439,08520,0.07168141592920355
25270,73071,0.04140461215932914
6734,21811,0.008390541571319604
9630,30097,-0.23217247097844113
24474,71115,0.18038528896672504
25424,73644,-0.10180696342000882
27543,79103,0.14688128772635814
31063,94563,0.5289256198347108
28851,84093,-0.13768961493582263
13180,40741,-0.0830188679245283
14016,43608,-0.1285140562248996
1913,06770,0.21403508771929824
11132,34285,-0.01016260162601626
15616,47803,-0.20638085742771686
30262,91601,0.10612991765782251
2773,10954,-0.1868037703513282
12876,39531,-0.2684964200477327
9238,29170,-0.07238259370960792
6897,22603,0.04200542005420054
18364,54902,0.20941176470588235
15842,48176,-0.0014792899408284023
27860,80207,0.31647398843930635
10967,33781,0.20743034055727555
22249,64128,-0.0071174377224199285
10789,33314,0.36431784107946025
3995,14043,-0.0800561797752809
31819,96761,-0.05710401087695445
26901,77541,0.18761188686000715
11483,35650,0.2953703703703704
16168,48858,-0.028221512247071354
3861,13669,0.32765151515151514
9722,30269,-0.14814814814814814
13256,41005,-0.03940217391304348
7898,25425,-0.01636904761904762
5945,19036,0.019083969465648856
10975,33810,-0.13048245614035087
22966,66503,0.1964549483013294
15831,48161,-0.019401778496362168
30227,91340,0.08136628714246043
25615,74136,-0.04791666666666667
24977,72450,-0.15676959619952494
29393,86045,-0.051351351351351354
14737,45415,0.10224438902743142
20593,60441,-0.05706134094151213
44,00703,0.055286800276434005
8924,28472,0.007054673721340388
6013,19136,0.1465778316172017
26324,76107,0.05403458213256484
31634,95965,0.16966580976863754
11171,34491,0.05079605761940864
18588,55376,-0.14891774891774892
10196,31709,-0.07520564042303172
13173,40601,-0.07463102199944305
7424,24179,0.09534883720930233
11229,34771,-0.041069723018147083
10771,33184,0.01715686274509804
14232,44121,-0.06037000973709834
32731,98951,-0.013082583810302535
20687,60560,-0.0540115364446775
25949,75154,0.06995452955578874
6536,21144,0.014002897151134718
20342,59801,0.04510108864696734
654,02760,0.20223577235772358
30664,93004,-0.11199601791936287
9407,29588,0.031834591401378405
9336,29456,-0.022641509433962263
18614,55410,0.017937219730941704
31466,95618,0.032679738562091505
1747,06114,0.14432989690721648
29914,89148,-0.19741532976827095
14739,45417,-0.08695652173913043
7228,23601,0.045982575024201354
13158,40502,0.028477546549835708
488,02139,-0.3328050713153724
13089,40245,0.023612750885478158
13610,42240,-0.07238095238095238
9752,30314,-0.026737967914438502
6019,19142,-0.14285714285714285
4207,14623,0.14802981895633652
373,01801,0.05929264909847434
6957,22801,-0.008983717012914094
2508,08812,-0.1836734693877551
6820,22201,-0.19649122807017544
2969,11714,0.010259917920656635
8417,27295,-0.11819645732689212
31308,95348,0.05468215994531784
3968,13905,-0.2318840579710145
9428,29627,-0.16441620333598095
28837,84074,0.13686006825938565
12071,37341,0.1551383399209486
10074,31206,0.3578088578088578
31991,97225,0.08838383838383838
32333,98074,-0.11853448275862069
27410,78754,0.1752212389380531
2583,10028,0.08759124087591241
2702,10550,0.09505021520803443
23737,68502,-0.019766852508869743
26495,76549,0.1519740400216333
6395,20737,0.013658820110433014
10101,31326,0.1262073406310367
2020,07070,0.1443478260869565
16125,48801,0.024193548387096774
25685,74467,-0.08181818181818182
2040,07094,0.156957928802589
18527,55309,0.05348557692307692
32122,97477,0.0340620233858668
31241,95219,-0.07080504364694472
20723,60631,-0.14666021297192644
27144,78217,0.12575888985255854
31557,95762,0.007231404958677686
6512,21078,0.047
17891,53713,0.3385579937304075
25150,72830,0.1713362068965517
4677,15642,-0.006266786034019696
1706,06053,-0.014492753623188406
12008,37188,0.22704081632653061
2771,10952,0.041108132260947276
31078,94579,0.09283489096573208
6414,20770,0.007621951219512195
26493,76544,0.19391634980988592
186,01089,0.0019828155981493722
2627,10301,-0.0004923682914820286
24433,71037,-0.014462809917355372
2822,11105,-0.03804834377797672
6147,19610,-0.1882640586797066
15368,47119,-0.24216216216216216
30727,93250,0.003261312678353037
15487,47401,0.14114326040931546
5623,18045,-0.05664263645726056
26703,77051,-0.047244094488188976
12572,38668,0.035036496350364967
14227,44116,-0.042
5927,19014,0.08448928121059268
29468,87002,0.05205348615090735
28798,84032,0.122284295468653
9014,28630,-0.18705463182897863
27643,79416,0.010969723562966213
1799,06355,-0.0681198910081744
21827,63042,-0.12942191544434858
11969,37122,0.02142857142857143
6102,19508,0.12187159956474429
10809,33404,0.14931087289433384
8516,27576,0.061795218764095626
30306,91775,-0.0048828125
12315,38053,-0.14209245742092458
2798,10990,-0.03685368536853685
1851,06461,-0.09849246231155778
29152,85254,0.038856304985337244
3233,12306,0.12586206896551724
32540,98501,0.10859977949283352
31316,95360,-0.012077294685990338
31330,95377,0.09621289662231321
3801,13492,0.11169284467713787
9709,30248,-0.005025125628140704
17712,53092,0.056768558951965066
11328,35126,0.02973568281938326
10812,33407,-0.1961441743503772
559,02467,0.025477707006369428
31617,95945,-0.0024549918166939444
31571,95824,0.0800711743772242
20466,60076,-0.06200177147918512
2635,10309,-0.04186641099392777
15912,48316,0.189010989010989
25910,75088,-0.06570223025919228
5982,19096,-0.07058823529411765
30645,92844,0.03808982376350199
29149,85250,-0.13972055888223553
25612,74133,-0.06327800829875518
6510,21076,0.7083333333333334
3028,11790,-0.3069306930693069
8960,28551,-0.06619385342789598
14964,46040,0.3681159420289855
10860,33487,0.16279069767441862
32832,99203,0.08695652173913043
32297,98020,0.008319467554076539
3173,12144,0.1226321036889332
29364,86001,0.025440313111545987
6617,21601,-0.040397762585456805
24767,72022,0.18181818181818182
4021,14086,0.06592729513247074
25965,75180,-0.09060402684563758
14309,44306,0.09477124183006536
