-928368000,B.C.,1
-928368000,CA,18
-925689600,B.C.,5
-925689600,CA,8
-923097600,B.C.,1
-923097600,CA,24
-920419200,B.C.,1
-920419200,CA,19
-917827200,B.C.,8
-917827200,CA,7
-915148800,B.C.,2
-915148800,CA,10
-912470400,B.C.,2
-912470400,CA,20
-910051200,B.C.,1
-910051200,CA,19
-907372800,CA,11
-904780800,CA,7
-902102400,B.C.,1
-902102400,CA,16
-899510400,B.C.,2
-899510400,CA,60
-896832000,B.C.,1
-896832000,CA,16
-894153600,CA,32
-894153600,NV,2
-891561600,CA,19
-888883200,B.C.,1
-888883200,CA,19
-888883200,NV,1
-886291200,B.C.,1
-886291200,CA,17
-883612800,CA,34
-880934400,CA,25
-878515200,B.C.,1
-878515200,CA,21
-875836800,B.C.,1
-875836800,CA,19
-873244800,B.C.,1
-873244800,CA,23
-870566400,CA,19
-867974400,B.C.,4
-867974400,CA,11
-865296000,CA,20
-862617600,B.C.,4
-862617600,CA,17
-860025600,B.C.,1
-860025600,CA,43
-857347200,B.C.,1
-857347200,CA,27
-857347200,NV,1
-854755200,B.C.,3
-854755200,CA,24
-852076800,CA,16
-849398400,CA,28
-846979200,B.C.,1
-846979200,CA,20
-844300800,CA,22
-841708800,CA,18
-839030400,CA,10
-836438400,B.C.,1
-836438400,CA,17
-833760000,CA,18
-831081600,CA,17
-828489600,B.C.,1
-828489600,CA,23
-825811200,CA,27
-823219200,CA,15
-820540800,CA,15
-817862400,CA,11
-815356800,CA,13
-812678400,CA,10
-810086400,B.C.,1
-810086400,CA,10
-807408000,CA,47
-804816000,CA,18
-802137600,CA,19
-799459200,B.C.,1
-799459200,CA,19
-796867200,B.C.,4
-796867200,CA,15
-796867200,NV,3
-794188800,CA,21
-794188800,NV,2
-791596800,B.C.,2
-791596800,CA,14
-788918400,B.C.,1
-788918400,CA,20
-786240000,B.C.,1
-786240000,CA,11
-783820800,B.C.,2
-783820800,CA,16
-781142400,B.C.,4
-781142400,CA,19
-778550400,B.C.,1
-778550400,CA,17
-775872000,CA,11
-775872000,Ca,1
-773280000,CA,9
-770601600,B.C.,2
-770601600,CA,17
-767923200,B.C.,1
-767923200,CA,10
-765331200,CA,8
-762652800,B.C.,1
-762652800,CA,7
-760060800,CA,6
-757382400,CA,12
-754704000,B.C.,1
-754704000,CA,17
-752284800,B.C.,1
-752284800,CA,110
-752284800,NV,1
-749606400,B.C.,1
-749606400,CA,38
-747014400,B.C.,2
-747014400,CA,30
-744336000,B.C.,1
-744336000,CA,31
-741744000,CA,42
-739065600,B.C.,2
-739065600,CA,25
-736387200,CA,17
-733795200,CA,23
-731116800,CA,17
-728524800,B.C.,1
-728524800,CA,11
-728524800,NV,3
-725846400,B.C.,1
-725846400,CA,19
-725846400,NV,2
-723168000,CA,29
-723168000,NV,2
-720748800,CA,21
-718070400,B.C.,4
-718070400,CA,140
-715478400,B.C.,1
-715478400,CA,44
-712800000,B.C.,1
-712800000,CA,29
-710208000,B.C.,1
-710208000,CA,83
-707529600,CA,39
-704851200,CA,28
-704851200,NV,1
-702259200,CA,25
-702259200,NV,1
-699580800,CA,33
-696988800,CA,23
-694310400,CA,14
-691632000,CA,31
-689126400,CA,35
-686448000,CA,24
-683856000,B.C.,3
-683856000,CA,14
-681177600,B.C.,2
-681177600,CA,22
-678585600,B.C.,1
-678585600,CA,23
-675907200,CA,16
-675907200,NV,3
-673228800,CA,17
-670636800,CA,24
-670636800,NV,1
-667958400,CA,16
-665366400,B.C.,1
-665366400,CA,146
-662688000,CA,27
-662688000,NV,1
-660009600,B.C.,2
-660009600,CA,23
-660009600,NV,1
-657590400,CA,38
-654912000,CA,16
-654912000,Washington,1
-652320000,B.C.,2
-652320000,CA,113
-649641600,CA,27
-647049600,B.C.,3
-647049600,CA,31
-644371200,CA,28
-644371200,NV,1
-641692800,B.C.,1
-641692800,CA,18
-639100800,CA,24
-636422400,B.C.,45
-636422400,CA,16
-636422400,Ca,1
-633830400,B.C.,3
-633830400,CA,22
-633830400,NV,1
-631152000,B.C.,3
-631152000,CA,28
-628473600,B.C.,4
-628473600,CA,25
-626054400,B.C.,1
-626054400,CA,15
-623376000,CA,23
-620784000,B.C.,1
-620784000,CA,23
-618105600,CA,16
-615513600,B.C.,1
-615513600,CA,57
-612835200,B.C.,1
-612835200,CA,39
-610156800,B.C.,2
-610156800,CA,30
-607564800,B.C.,2
-607564800,CA,26
-604886400,B.C.,1
-604886400,CA,35
-604886400,NV,1
-602294400,B.C.,5
-602294400,CA,25
-602294400,NV,1
-599616000,B.C.,2
-599616000,CA,22
-599616000,NV,2
-596937600,B.C.,1
-596937600,CA,12
-596937600,NV,3
-594518400,CA,18
-591840000,CA,6
-591840000,NV,1
-589248000,CA,10
-586569600,B.C.,6
-586569600,CA,27
